name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Huawei MateBook D 15"" - AMD Ryzen, Windows 10-8+256 GB,15.6 Pulgadas, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$14,999.00",,139 calificaciones,Huawei,4.7 de 5 estrellas,Huawei,Matebook D 15,Gris,17 millimeters,35.8 centimeter,15,1920 x 1080,AMD,Ryzen 5 3500U,2.2 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,256,Flash Memory Solid State,PCIE x 2,AMD Radeon RX Vega 8,Integrated,DDR4 SDRAM,8,Integrado,Bluetooth,2,1,None,Windows 10 Home,42 watt_hours,2, ,2.3 Kg,6901443370764,20 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        HUAWEI Matebook 13 New- Computadora portátil ultradelgada 13"" (Intel Core i5-8265U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Mystic Silver
                    
                

                
                    
                    
                
            ","$20,999.00",,55 calificaciones,Huawei,4.3 de 5 estrellas,HUAWEI,Matebook 13,,15 millimeters,28.6 centimeter,13 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,DDR4,SDRAM,8 GB,,Memoria flash de estado sólido,,NVIDIA GeForce MX250,Integrada,DDR4 SDRAM,,Integrado,,,2,Ninguno,Windows 10,41.80 watt_hours,1, ,2.2 Kg,Wright W19GL,14 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla de 15"" HD, Procesador A9, 4GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Pale Gold (15-db0004la)
                    
                

                
                    
                    
                
            ",,,32 calificaciones,HP,3.7 de 5 estrellas,HP,15-db0004la,"Oro, Gris",23 millimeters,24.4 centimeter,15.6 inches,1366 x 768 Pixeles,AMD,None,3.7 GHz,4 GB,SO-DIMM,,4 GB,1000 GB,,,,No disponible,,,,802.11bgn,1,2,No,Windows 10,41 watt_hours,3, ,2.5 Kg,15-db0004la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 240 G7 14"" Intel Celeron N4000 4GB 500GB Windows 10 Home
                    
                

                
                    
                    
                
            ","$7,700.00"," $9,417.57",23 calificaciones,HP,4.1 de 5 estrellas,HP,,,,,14 inches,,Intel,Celeron N,2.60 GHz,4 GB,,DDR3 SDRAM,,500 GB,,Serial ATA,,,,,,,,,,Windows 10 Home,5 watt_hours,2, ,2.2 Kg,6EH30ELIFE2TB,3 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Chromebook C423NA-DH02 computadora portátil Plata 35.6 cm (14"") 1.10 GHz Intel® Celeron® N3350 - Ordenador portátil (Intel® Celeron®, 1.10 GHz, 35.6 cm (14""), 4 GB, 32 GB, Chrome OS)
                    
                

                
                    
                    
                
            ","$6,749.93"," $7,239.00",623 calificaciones,Asus,3.9 de 5 estrellas,Asus,C423NA-DH02,Plata,15 millimeters,22.9 centimeter,14 inches,,Intel,,1.1 GHz,4 GB,LPDDR4-SDRAM,DDR4 SDRAM,8 GB,32 GB,,Serial ATA,Intel HD Graphics 500,No disponible,Shared,,Integrado,802.11ac,,,No,Chrome OS,38 watt_hours,2, ,2.1 Kg,C423NA-DH02,16 de octubre de 2018
"
                
                    
                    
                

                
                    
                    
                        ASUS Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16GB eMMC, Dark Blue, Silver)
                    
                

                
                    
                    
                
            ","$6,106.49",,"3,182 calificaciones",Asus,4.1 de 5 estrellas,Asus,Chromebook,N3060 | 16G | Ruggedized,20.1 centimeter,23 millimeters,11.6 inches,1366 x 768 pixels,Intel,Intel Celeron,1.6 GHz,4 GB,LPDDR3-SDRAM,DDR3L-1600 SDRAM,8 GB,16 GB,,Solid State,Intel HD Graphics,integrated,Shared,,Integrado,802.11ac,,,No Optical Drive,Chrome,38 watt_hours,2, ,1.8 Kg,C202SA-YS02,23 de marzo de 2016
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 14"" Core i3 10a Gen, 4GB RAM + 4GB DDIM, 512GB SSD + 32GB Optane, Azul, X412FA-BV786T
                    
                

                
                    
                    
                
            ","$12,499.00"," $13,999.00",,Asus,,Asus,X412FA-BV786T,,,,14 inches,,Intel,Core i3-10110U,4.1 GHz,8 GB,DDR4,,12 GB,,Memoria flash de estado sólido,,,Integrada,DDR DRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.2 Kg,,31 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL G3 15.6"", GEFORCE GTX 1050,  CORE i5 9 Gen. RAM 8GB, 256 SSD BLANCO (G3590W_i582561050W10s_520)
                    
                

                
                    
                    
                
            ","$19,299.00"," $21,499.01",74 calificaciones,Dell,4.4 de 5 estrellas,Dell,Gaming G3 15,,9 millimeters,36.6 centimeter,15.6 inches,,Intel,Intel Core i5,4.1 GHz,8 GB,,,32 GB,,,,NVIDIA GeForce GTX 1050,nvidia_geforce_gtx_1050,,,,802.11ac,,,,Windows 10,51 watt_hours,3, ,3.5 Kg,G3590W_i582561050W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 7490, Pantalla 14”, Procesador Core i7 10a. Gen., 8GB RAM , 256 SSD, Win 10, Color Plata (I7490_i78256SW10s_520)
                    
                

                
                    
                    
                
            ","$27,999.00",,2 calificaciones,Dell,5.0 de 5 estrellas,Dell,Inspiron Notebooks,,7 millimeters,32 centimeter,14 inches,,Intel,Intel Core i7,4.9 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,52 watt_hours,4, ,1.8 Kg,I7490_i78256SW10s_520,23 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire E 15, Intel Core 8º generación,
                    
                

                
                    
                    
                
            ","$14,599.00",,"1,510 calificaciones",Acer,4.1 de 5 estrellas,Acer,,Obsidian Black,30 millimeters,25.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,DDR SDRAM,32 GB,256 GB,,,MX150,Dedicated,GDDR5,,Integrado,802.11ac,1,,DVD-RW,Windows 10,28 watt_hours,6, ,3.2 Kg,E5-576G-5762,5 de marzo de 2018
